id,school,color,alternate_color,alternate_names,abbreviation,conference,division,logos,location_id,location_city,location_state,location_zip,location_country,location_latitude,location_longitude,stadium_capacity,location_elevation,location_timezone,grass,dome
15,Anna Maria College,#null,#null,"ANN,Anna Maria",ANN,MSCAC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/15.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/15.png",5794.0,Paxton,MA,01612,US,42.3122967,-71.934172,1000.0,,,,False
3111,Apprentice School,#null,#null,"APPRE,Apprentice",APPRE,Independent DIII,,"http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3111.png",3618.0,Newport News,VA,23607,US,36.9775016,-76.42977,800.0,,,,False
2026,App State,#ffcc00,#222222,"Appalachian State,APP,App State",APP,Sun Belt,East,"http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2026.png",3792.0,Boone,NC,28608,US,36.2114267,-81.6854278,30000.0,991.3414307,America/New_York,False,False
12,Arizona,#0c234b,#ab0520,"ARIZ,Arizona",ARIZ,Big 12,,"http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/12.png",3619.0,Tucson,AZ,85721,US,32.2288054,-110.9488677,50782.0,742.1530151,America/Phoenix,False,False
9,Arizona State,#8e0c3a,#ffc72c,"ASU,Arizona St",ASU,Big 12,,"http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/9.png",3947.0,Tempe,AZ,85287,US,33.4264471,-111.9325005,65870.0,360.1569519,America/Phoenix,True,False
8,Arkansas,#a41f35,#ffffff,"ARK,Arkansas",ARK,SEC,,"http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png",3887.0,Fayetteville,AR,72702,US,36.0680662,-94.1789534,80000.0,403.7972412,America/Chicago,False,False
2028,Arkansas-Monticello,#null,#null,"ARKMONT,Ark-Monticello",ARKMONT,Great American,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2028.png",5871.0,Monticello,AR,26302,US,33.6293427,-91.7912327,3650.0,,,,False
2029,Arkansas-Pine Bluff,#e0aa0f,#eaaa00,"Arkansas Pine Bluff,UAPB,AR-Pine Bluff",UAPB,SWAC,West,"http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png",3740.0,Pine Bluff,AR,71601,US,34.253327,-92.0214031,16000.0,67.71961975,America/Chicago,False,False
2032,Arkansas State,#e81018,#000000,"ARST,Arkansas St",ARST,Sun Belt,West,"http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png",3625.0,Jonesboro,AR,72404,US,35.8488977,-90.6677436,30382.0,89.52690887,America/Chicago,False,False
2033,Arkansas Tech,#null,#null,"ARKTECH,Arkansas Tech",ARKTECH,Great American,,"http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png,http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2033.png",5870.0,Russellville,AR,26680,US,35.2784173,-93.1337856,6500.0,,,,False
