"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2023","164","Rutgers","fbs","Big Ten","East","6.343079326395482","13","7","6","0","9","3","6","0","7","5","2","0","5","1","4","0","1","1","0","0","12","6","6","0","1","1","0","0"
"2023","2827","Rowan","iii","New Jersey","","","10","5","5","0","6","4","2","0","6","1","5","0","4","4","0","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","86","Rose-Hulman","iii","Heartland","","","10","7","3","0","7","6","1","0","5","3","2","0","5","4","1","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2023","2524","Rockford","iii","NACC","","","10","2","8","0","8","1","7","0","5","2","3","0","5","0","5","0","0","0","0","0","10","2","8","0","0","0","0","0"
"2023","2523","Robert Morris","fcs","Big South-OVC","","2.2098405950119147","11","4","7","0","6","2","4","0","6","3","3","0","5","1","4","0","0","0","0","0","11","4","7","0","0","0","0","0"
"2023","2891","Ripon","iii","Midwest","","","10","5","5","0","9","5","4","0","4","1","3","0","6","4","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","257","Richmond","fcs","CAA","","6.246527332255188","13","9","4","0","9","7","2","0","7","5","2","0","6","4","2","0","0","0","0","0","11","8","3","0","2","1","1","0"
"2023","242","Rice","fbs","American Athletic","","5.333376090068548","13","6","7","0","8","4","4","0","7","4","3","0","5","2","3","0","1","0","1","0","12","6","6","0","1","0","1","0"
"2023","2519","Rhodes College","iii","Southern Athletic","","","10","6","4","0","8","4","4","0","5","4","1","0","5","2","3","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2023","227","Rhode Island","fcs","CAA","","2.024714121743227","11","6","5","0","8","4","4","0","5","4","1","0","6","2","4","0","0","0","0","0","11","6","5","0","0","0","0","0"
"2023","2528","Rensselaer","iii","Liberty League","","","10","7","3","0","6","3","3","0","5","4","1","0","5","3","2","0","0","0","0","0","10","7","3","0","0","0","0","0"
"2023","29","Redlands","iii","So. Cal.","","","10","5","5","0","8","4","4","0","5","2","3","0","5","3","2","0","0","0","0","0","9","5","4","0","1","0","1","0"
"2023","111674","Reading","iii","Mid Atlantic","","","10","1","9","0","9","1","8","0","4","1","3","0","5","0","5","0","1","0","1","0","10","1","9","0","0","0","0","0"
"2023","2516","Randolph-Macon","iii","Old Dominion","","","14","13","1","0","7","7","0","0","7","7","0","0","7","6","1","0","0","0","0","0","10","10","0","0","4","3","1","0"
